group,key,val
1,A,54
2,AA,1
2,AB,170
3,AAB,117
3,ABC,1324
3,AAA,0
4,AABC,1102
4,AAAA,0
4,AAAB,15
4,ABCD,4183
4,AABB,51
5,AABBC,220
5,AAAAB,0
5,AAABC,101
5,AAAAA,0
5,AAABB,9
5,AABCD,3202
5,ABCDE,6647
6,AABBCC,60
6,ABCDEF,8459
6,AAABBB,1
6,AABBCD,1172
6,AAAABC,12
6,AAAAAB,0
6,AAAAAA,0
6,AABCDE,7362
6,AAABBC,96
6,AAAABB,3
6,AAABCD,439
7,AAAABBC,6
7,AAAAAAA,0
7,AAAABCD,22
7,AABCDEF,11021
7,AAABCDE,914
7,ABCDEFG,8225
7,AABBCDE,3118
7,AAAAAAB,0
7,AABBCCD,158
7,AAABBCD,338
7,AAAAABC,0
7,AAABBCC,8
7,AAAABBB,1
7,AAAAABB,0
7,AAABBBC,4
8,AAABBCDE,1005
8,AAAABBBB,0
8,AAAAAABC,0
8,AAAABBCC,17
8,AABBCDEF,6661
8,AABBCCDD,22
8,AAABBBCC,2
8,AAAAABCD,0
8,AAAAAABB,0
8,AAABBBCD,37
8,ABCDEFGH,6336
8,AAAAAAAA,0
8,AABCDEFG,13155
8,AAAABBCD,54
8,AABBCCDE,842
8,AAAAABBC,0
8,AAAAABBB,0
8,AAAAAAAB,0
8,AAAABCDE,91
8,AAABCDEF,1655
8,AAAABBBC,3
8,AAABBCCD,95
9,AAAAABBCC,1
9,AABBCCDDE,104
9,AAAABBBBC,0
9,AAABBCCDE,334
9,AABBCDEFG,9699
9,AAAAAAABC,0
9,AABBCCDEF,2130
9,AAABBBCCC,0
9,AAAAABBBC,0
9,AAAAABBCD,1
9,AAAABBCCD,7
9,ABCDEFGHI,3961
9,AAABBCDEF,1978
9,AAABBBCCD,20
9,AAAAAABBB,0
9,AAAABCDEF,136
9,AAAAABCDE,3
9,AAAAABBBB,0
9,AAABCDEFG,1860
9,AAAAAAAAA,0
9,AAAAAABCD,0
9,AAAAAAABB,0
9,AAAAAABBC,0
9,AAAABBCDE,86
9,AAAABBBCD,5
9,AABCDEFGH,11979
9,AAAAAAAAB,0
9,AAABBBCDE,104
9,AAAABBBCC,0
9,AAABBCCDD,5
10,AAAAABBBCC,0
10,AAAAAAABCD,0
10,AAAAAAAABB,0
10,AAABCDEFGH,1763
10,AAAAABBBBC,0
10,ABCDEFGHIJ,1894
10,AAABBCCDEF,1028
10,AABBCCDDEE,4
10,AAAAAAABBB,0
10,AABBCCDDEF,418
10,AAABBBCCDE,60
10,AAABBBCCCD,0
10,AABCDEFGHI,8330
10,AAAAABBBBB,0
10,AAAAAAAABC,0
10,AAAABCDEFG,162
10,AAAABBBCCC,0
10,AAAAABBBCD,0
10,AAAABBBBCC,0
10,AAABBBCDEF,171
10,AAAAABBCDE,4
10,AAAAAABBBB,0
10,AAAABBCDEF,191
10,AAABBBCCDD,1
10,AAABBCCDDE,60
10,AAAAABBCCD,1
10,AAAAAAAAAB,0
10,AAAABBCCDD,3
10,AAAAABCDEF,6
10,AABBCDEFGH,10006
10,AAAAAABCDE,0
10,AAAABBBCCD,7
10,AAAAAAAAAA,0
10,AAAAAABBBC,0
10,AAAAAAABBC,0
10,AAAAAABBCD,0
10,AAAABBBCDE,14
10,AAAABBCCDE,41
10,AAAABBBBCD,1
10,AABBCCDEFG,3837
10,AAAAAABBCC,0
10,AAABBCDEFG,2875
11,AAAAAAAABBC,0
11,AAABBBCCDDE,12
11,AAAABBBBCCD,1
11,AAAAAABBBCC,0
11,AAAABBBCCDD,0
11,AAAABBCDEFG,269
11,AAAAAAABBBB,0
11,AAABBBCCCDE,4
11,AAAAAABBBBB,0
11,AAAAAABBCDE,0
11,AAAABBCCDDE,6
11,AAABBBCDEFG,249
11,AAAABBBCCDE,14
11,AAAABCDEFGH,131
11,AAAAABBCCDE,8
11,AABBCDEFGHI,7915
11,AAAAAAAAABB,0
11,AABBCCDEFGH,4746
11,AABBCCDDEFG,964
11,AAAAAAAABCD,0
11,AAAABBCCDEF,98
11,AAAAABBBCCC,0
11,AAAABBBCCCD,0
11,AAABBCCDDEF,251
11,AAAAABBBBCC,0
11,AAAAAAAAAAB,0
11,AAAAABBBCCD,1
11,AAAABBBBCCC,0
11,AAAAAABCDEF,0
11,AAAAAABBBCD,0
